Arquivo,Caminho,Tipo,O que é,Dimensões,Tamanho,Tamanho em bytes,Formato de origem,Dimensões de origem,Tamanho de origem,Economia (%),Referenciado em
capitulo-19.webp,assets/chapters/guerras-de-sangue/capitulo-19.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 19 — Guerras de Sangue,1672 × 941 px,250.1 KB,256098,PNG,1672 × 941 px,2.3 MB,89.2,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-2.webp,assets/chapters/guerras-de-sangue/capitulo-2.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 2 — Guerras de Sangue,1672 × 941 px,203.2 KB,208072,PNG,1672 × 941 px,2.1 MB,90.4,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-20.webp,assets/chapters/guerras-de-sangue/capitulo-20.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 20 — Guerras de Sangue,1672 × 941 px,366.2 KB,375036,PNG,1672 × 941 px,2.6 MB,86.0,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-21.webp,assets/chapters/guerras-de-sangue/capitulo-21.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 21 — Guerras de Sangue,1672 × 941 px,346.0 KB,354286,PNG,1672 × 941 px,2.6 MB,86.9,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-22.webp,assets/chapters/guerras-de-sangue/capitulo-22.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 22 — Guerras de Sangue,1672 × 941 px,240.1 KB,245902,PNG,1672 × 941 px,2.3 MB,89.9,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-23.webp,assets/chapters/guerras-de-sangue/capitulo-23.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 23 — Guerras de Sangue,1672 × 941 px,242.5 KB,248346,PNG,1672 × 941 px,2.2 MB,89.4,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-24.webp,assets/chapters/guerras-de-sangue/capitulo-24.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 24 — Guerras de Sangue,1672 × 941 px,195.1 KB,199804,PNG,1672 × 941 px,2.1 MB,91.0,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/chapters.js
capitulo-25.webp,assets/chapters/guerras-de-sangue/capitulo-25.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 25 — Guerras de Sangue,1024 × 576 px,97.7 KB,100066,JPEG,1024 × 576 px,116.5 KB,16.1,
capitulo-26.webp,assets/chapters/guerras-de-sangue/capitulo-26.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 26 — Guerras de Sangue,1672 × 941 px,273.0 KB,279548,PNG,1672 × 941 px,2.4 MB,89.0,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/chapters.js
capitulo-27.webp,assets/chapters/guerras-de-sangue/capitulo-27.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 27 — Guerras de Sangue,1672 × 941 px,254.8 KB,260900,PNG,1672 × 941 px,2.4 MB,89.6,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/chapters.js
capitulo-28.webp,assets/chapters/guerras-de-sangue/capitulo-28.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 28 — Guerras de Sangue,1672 × 941 px,354.9 KB,363414,PNG,1672 × 941 px,2.5 MB,86.3,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/chapters.js
capitulo-29.webp,assets/chapters/guerras-de-sangue/capitulo-29.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 29 — Guerras de Sangue,1672 × 941 px,330.1 KB,338030,PNG,1672 × 941 px,2.5 MB,87.2,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/chapters.js
capitulo-3.webp,assets/chapters/guerras-de-sangue/capitulo-3.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 3 — Guerras de Sangue,1672 × 941 px,311.8 KB,319314,PNG,1672 × 941 px,2.5 MB,87.9,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-4.webp,assets/chapters/guerras-de-sangue/capitulo-4.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 4 — Guerras de Sangue,1672 × 941 px,346.0 KB,354342,PNG,1672 × 941 px,2.6 MB,87.1,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-5.webp,assets/chapters/guerras-de-sangue/capitulo-5.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 5 — Guerras de Sangue,1672 × 941 px,217.9 KB,223102,PNG,1672 × 941 px,2.2 MB,90.1,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-6.webp,assets/chapters/guerras-de-sangue/capitulo-6.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 6 — Guerras de Sangue,1672 × 941 px,293.6 KB,300656,PNG,1672 × 941 px,2.5 MB,88.4,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-7.webp,assets/chapters/guerras-de-sangue/capitulo-7.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 7 — Guerras de Sangue,1024 × 572 px,116.9 KB,119700,JPEG,1024 × 572 px,125.3 KB,6.7,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/chapters.js
capitulo-8.webp,assets/chapters/guerras-de-sangue/capitulo-8.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 8 — Guerras de Sangue,1672 × 941 px,371.1 KB,379970,PNG,1672 × 941 px,2.6 MB,86.0,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
capitulo-9.webp,assets/chapters/guerras-de-sangue/capitulo-9.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capitulo 9 — Guerras de Sangue,1672 × 941 px,473.0 KB,484314,PNG,1672 × 941 px,2.9 MB,84.2,data/sagas/ciclo-de-jesed/books/guerras-de-sangue/runtime.js
Capítulo 1.webp,assets/chapters/ruinas-dos-ceus/Capítulo 1.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 1 — Ruínas dos Céus,1672 × 941 px,431.8 KB,442136,PNG,1672 × 941 px,2.8 MB,84.8,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 10.webp,assets/chapters/ruinas-dos-ceus/Capítulo 10.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 10 — Ruínas dos Céus,1672 × 941 px,221.1 KB,226446,PNG,1672 × 941 px,2.2 MB,90.4,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 11.webp,assets/chapters/ruinas-dos-ceus/Capítulo 11.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 11 — Ruínas dos Céus,1672 × 941 px,246.1 KB,251982,PNG,1672 × 941 px,2.2 MB,89.3,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 12.webp,assets/chapters/ruinas-dos-ceus/Capítulo 12.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 12 — Ruínas dos Céus,1672 × 941 px,322.2 KB,329948,PNG,1672 × 941 px,2.5 MB,87.3,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 13.webp,assets/chapters/ruinas-dos-ceus/Capítulo 13.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 13 — Ruínas dos Céus,1672 × 941 px,365.1 KB,373860,PNG,1672 × 941 px,2.6 MB,86.3,
Capítulo 14.webp,assets/chapters/ruinas-dos-ceus/Capítulo 14.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 14 — Ruínas dos Céus,1672 × 941 px,319.7 KB,327350,PNG,1672 × 941 px,2.5 MB,87.4,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 15.webp,assets/chapters/ruinas-dos-ceus/Capítulo 15.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 15 — Ruínas dos Céus,1672 × 941 px,343.6 KB,351854,PNG,1672 × 941 px,2.5 MB,86.8,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 16.webp,assets/chapters/ruinas-dos-ceus/Capítulo 16.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 16 — Ruínas dos Céus,1672 × 941 px,309.1 KB,316554,PNG,1672 × 941 px,2.5 MB,87.9,
Capítulo 17.webp,assets/chapters/ruinas-dos-ceus/Capítulo 17.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 17 — Ruínas dos Céus,1672 × 941 px,313.8 KB,321346,PNG,1672 × 941 px,2.4 MB,87.4,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 18.webp,assets/chapters/ruinas-dos-ceus/Capítulo 18.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 18 — Ruínas dos Céus,1672 × 941 px,227.0 KB,232432,PNG,1672 × 941 px,2.1 MB,89.7,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 2.webp,assets/chapters/ruinas-dos-ceus/Capítulo 2.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 2 — Ruínas dos Céus,1672 × 941 px,427.1 KB,437308,PNG,1672 × 941 px,2.8 MB,85.4,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 20.webp,assets/chapters/ruinas-dos-ceus/Capítulo 20.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 20 — Ruínas dos Céus,1672 × 941 px,454.3 KB,465208,PNG,1672 × 941 px,2.9 MB,84.6,
Capítulo 21.webp,assets/chapters/ruinas-dos-ceus/Capítulo 21.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 21 — Ruínas dos Céus,1672 × 941 px,300.6 KB,307832,PNG,1672 × 941 px,2.4 MB,87.9,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 23.webp,assets/chapters/ruinas-dos-ceus/Capítulo 23.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 23 — Ruínas dos Céus,1672 × 941 px,340.6 KB,348738,PNG,1672 × 941 px,2.6 MB,87.4,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 24.webp,assets/chapters/ruinas-dos-ceus/Capítulo 24.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 24 — Ruínas dos Céus,1672 × 941 px,340.5 KB,348650,PNG,1672 × 941 px,2.5 MB,86.6,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 3.webp,assets/chapters/ruinas-dos-ceus/Capítulo 3.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 3 — Ruínas dos Céus,1672 × 941 px,379.4 KB,388506,PNG,1672 × 941 px,2.7 MB,86.1,data/sagas/ciclo-de-jesed/books/ruinas-dos-ceus/runtime.js
Capítulo 4.webp,assets/chapters/ruinas-dos-ceus/Capítulo 4.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 4 — Ruínas dos Céus,1672 × 941 px,379.4 KB,388554,PNG,1672 × 941 px,2.7 MB,86.5,
Capítulo 6.webp,assets/chapters/ruinas-dos-ceus/Capítulo 6.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 6 — Ruínas dos Céus,1672 × 941 px,298.6 KB,305752,PNG,1672 × 941 px,2.4 MB,87.9,
Capítulo 7.webp,assets/chapters/ruinas-dos-ceus/Capítulo 7.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 7 — Ruínas dos Céus,1672 × 941 px,402.3 KB,411952,PNG,1672 × 941 px,2.7 MB,85.6,
Capítulo 8.webp,assets/chapters/ruinas-dos-ceus/Capítulo 8.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 8 — Ruínas dos Céus,1672 × 941 px,338.7 KB,346844,PNG,1672 × 941 px,2.6 MB,87.2,
Capítulo 9.webp,assets/chapters/ruinas-dos-ceus/Capítulo 9.webp,Ilustração de capítulo / cena,Ilustração de cena ou capítulo: Capítulo 9 — Ruínas dos Céus,1672 × 941 px,353.7 KB,362226,PNG,1672 × 941 px,2.6 MB,86.8,
acampamento-dos-homens-das-areias.webp,assets/places/acampamento-dos-homens-das-areias.webp,Ilustração de local,Ilustração do local: Acampamento dos homens das areias — Dimensões Infinitas,1448 × 1086 px,295.3 KB,302396,WEBP,1448 × 1086 px,295.3 KB,0.0,
alesteiro.webp,assets/places/alesteiro.webp,Ilustração de local,Ilustração do local: Alesteiro — Dimensões Infinitas,1448 × 1086 px,275.1 KB,281746,WEBP,1448 × 1086 px,275.1 KB,0.0,
bosques-de-arion.webp,assets/places/ruinas/bosques-de-arion.webp,Ilustração de local,Ilustração do local: Bosques de arion — Dimensões Infinitas,1672 × 941 px,352.5 KB,360990,WEBP,1672 × 941 px,352.5 KB,0.0,
camara-do-primeiro-abrigo.webp,assets/places/camara-do-primeiro-abrigo.webp,Ilustração de local,Ilustração do local: Camara do primeiro abrigo — Dimensões Infinitas,1448 × 1086 px,121.4 KB,124304,WEBP,1448 × 1086 px,121.4 KB,0.0,
cendar-vel.webp,assets/places/cendar-vel.webp,Ilustração de local,Ilustração do local: Cendar vel — Dimensões Infinitas,1448 × 1086 px,173.0 KB,177148,WEBP,1448 × 1086 px,173.0 KB,0.0,
circulo-de-nhamari.webp,assets/places/ruinas/circulo-de-nhamari.webp,Ilustração de local,Ilustração do local: Circulo de nhamari — Dimensões Infinitas,1672 × 941 px,254.1 KB,260234,WEBP,1672 × 941 px,254.1 KB,0.0,
erilan.webp,assets/places/ruinas/erilan.webp,Ilustração de local,Ilustração do local: Erilan — Dimensões Infinitas,1672 × 941 px,345.3 KB,353632,WEBP,1672 × 941 px,345.3 KB,0.0,
estacao-da-leveza.webp,assets/places/ruinas/estacao-da-leveza.webp,Ilustração de local,Ilustração do local: Estacao da leveza — Dimensões Infinitas,1448 × 1086 px,284.8 KB,291604,WEBP,1448 × 1086 px,284.8 KB,0.0,
eterea.webp,assets/places/ruinas/eterea.webp,Ilustração de local,Ilustração do local: Eterea — Dimensões Infinitas,1672 × 941 px,259.4 KB,265616,WEBP,1672 × 941 px,259.4 KB,0.0,
floresta-de-mirval.webp,assets/places/floresta-de-mirval.webp,Ilustração de local,Ilustração do local: Floresta de mirval — Dimensões Infinitas,1448 × 1086 px,243.6 KB,249440,WEBP,1448 × 1086 px,243.6 KB,0.0,
floresta-de-nadirion.webp,assets/places/ruinas/floresta-de-nadirion.webp,Ilustração de local,Ilustração do local: Floresta de nadirion — Dimensões Infinitas,1448 × 1086 px,225.9 KB,231346,WEBP,1448 × 1086 px,225.9 KB,0.0,
ilha-da-memoria.webp,assets/places/ruinas/ilha-da-memoria.webp,Ilustração de local,Ilustração do local: Ilha da memoria — Dimensões Infinitas,1448 × 1086 px,271.1 KB,277586,WEBP,1448 × 1086 px,271.1 KB,0.0,
ilha-dos-pequenos.webp,assets/places/ruinas/ilha-dos-pequenos.webp,Ilustração de local,Ilustração do local: Ilha dos pequenos — Dimensões Infinitas,1448 × 1086 px,377.9 KB,386962,WEBP,1448 × 1086 px,377.9 KB,0.0,
ilhas-baixas.webp,assets/places/ruinas/ilhas-baixas.webp,Ilustração de local,Ilustração do local: Ilhas baixas — Dimensões Infinitas,1448 × 1086 px,68.4 KB,70072,WEBP,1448 × 1086 px,68.4 KB,0.0,
kaendar.webp,assets/places/kaendar.webp,Ilustração de local,Ilustração do local: Kaendar — Dimensões Infinitas,1448 × 1086 px,290.6 KB,297540,WEBP,1448 × 1086 px,290.6 KB,0.0,
khar-tondr.webp,assets/places/khar-tondr.webp,Ilustração de local,Ilustração do local: Khar tondr — Dimensões Infinitas,1333 × 1000 px,255.1 KB,261188,WEBP,1333 × 1000 px,255.1 KB,0.0,
marco-das-tres-pedras.webp,assets/places/marco-das-tres-pedras.webp,Ilustração de local,Ilustração do local: Marco das tres pedras — Dimensões Infinitas,1448 × 1086 px,195.0 KB,199728,WEBP,1448 × 1086 px,202.3 KB,3.6,
margem-dos-zirrios.webp,assets/places/margem-dos-zirrios.webp,Ilustração de local,Ilustração do local: Margem dos zirrios — Dimensões Infinitas,1448 × 1086 px,379.5 KB,388570,WEBP,1448 × 1086 px,395.5 KB,4.1,
nadirion.webp,assets/places/ruinas/nadirion.webp,Ilustração de local,Ilustração do local: Nadirion — Dimensões Infinitas,1448 × 1086 px,96.3 KB,98624,WEBP,1448 × 1086 px,96.3 KB,0.0,
nivellia.webp,assets/places/ruinas/nivellia.webp,Ilustração de local,Ilustração do local: Nivellia — Dimensões Infinitas,1448 × 1086 px,330.9 KB,338880,WEBP,1448 × 1086 px,330.9 KB,0.0,
noreval.webp,assets/places/noreval.webp,Ilustração de local,Ilustração do local: Noreval — Dimensões Infinitas,1448 × 1086 px,264.4 KB,270782,WEBP,1448 × 1086 px,286.5 KB,7.7,
nyn-harad.webp,assets/places/nyn-harad.webp,Ilustração de local,Ilustração do local: Nyn harad — Dimensões Infinitas,1448 × 1086 px,446.9 KB,457664,WEBP,1448 × 1086 px,473.2 KB,5.6,
planalto-de-talyen.webp,assets/places/ruinas/planalto-de-talyen.webp,Ilustração de local,Ilustração do local: Planalto de talyen — Dimensões Infinitas,1448 × 1086 px,280.9 KB,287594,WEBP,1448 × 1086 px,280.9 KB,0.0,
praca-da-raiz.webp,assets/places/ruinas/praca-da-raiz.webp,Ilustração de local,Ilustração do local: Praca da raiz — Dimensões Infinitas,1448 × 1086 px,394.6 KB,404062,WEBP,1448 × 1086 px,394.6 KB,0.0,
primeiro-abrigo.webp,assets/places/ruinas/primeiro-abrigo.webp,Ilustração de local,Ilustração do local: Primeiro abrigo — Dimensões Infinitas,1448 × 1086 px,193.6 KB,198274,WEBP,1448 × 1086 px,193.6 KB,0.0,
riacho-de-nadirion.webp,assets/places/ruinas/riacho-de-nadirion.webp,Ilustração de local,Ilustração do local: Riacho de nadirion — Dimensões Infinitas,1448 × 1086 px,210.9 KB,215960,WEBP,1448 × 1086 px,210.9 KB,0.0,
ruinas-de-eterea.webp,assets/places/ruinas/ruinas-de-eterea.webp,Ilustração de local,Ilustração do local: Ruinas de eterea — Dimensões Infinitas,1448 × 1086 px,273.1 KB,279610,WEBP,1448 × 1086 px,273.1 KB,0.0,
urtar-vesh.webp,assets/places/urtar-vesh.webp,Ilustração de local,Ilustração do local: Urtar vesh — Dimensões Infinitas,1448 × 1086 px,222.7 KB,228028,WEBP,1448 × 1086 px,249.4 KB,10.7,
vale.webp,assets/places/ruinas/vale.webp,Ilustração de local,Ilustração do local: Vale — Dimensões Infinitas,1448 × 1086 px,286.0 KB,292826,WEBP,1448 × 1086 px,286.0 KB,0.0,
varkhama.webp,assets/places/varkhama.webp,Ilustração de local,Ilustração do local: Varkhama — Dimensões Infinitas,1448 × 1086 px,349.3 KB,357702,WEBP,1448 × 1086 px,371.0 KB,5.8,
velarim.webp,assets/places/velarim.webp,Ilustração de local,Ilustração do local: Velarim — Dimensões Infinitas,1448 × 1086 px,466.8 KB,478012,WEBP,1448 × 1086 px,476.2 KB,2.0,
cla-buldar.webp,assets/clans/cla-buldar.webp,Imagem do site,Imagem do site: Cla buldar — Dimensões Infinitas,520 × 520 px,72.1 KB,73814,WEBP,520 × 520 px,72.1 KB,0.0,
cla-cendar.webp,assets/clans/cla-cendar.webp,Imagem do site,Imagem do site: Cla cendar — Dimensões Infinitas,520 × 520 px,73.5 KB,75262,WEBP,520 × 520 px,73.5 KB,0.0,
cla-glydar.webp,assets/clans/cla-glydar.webp,Imagem do site,Imagem do site: Cla glydar — Dimensões Infinitas,520 × 520 px,75.2 KB,76986,WEBP,520 × 520 px,75.2 KB,0.0,
cla-tondrar.webp,assets/clans/cla-tondrar.webp,Imagem do site,Imagem do site: Cla tondrar — Dimensões Infinitas,520 × 520 px,60.4 KB,61806,WEBP,520 × 520 px,60.6 KB,0.5,
cla-urtistar.webp,assets/clans/cla-urtistar.webp,Imagem do site,Imagem do site: Cla urtistar — Dimensões Infinitas,520 × 520 px,74.0 KB,75808,WEBP,520 × 520 px,74.0 KB,0.0,
cla-vendrar.webp,assets/clans/cla-vendrar.webp,Imagem do site,Imagem do site: Cla vendrar — Dimensões Infinitas,520 × 520 px,67.7 KB,69354,WEBP,520 × 520 px,67.7 KB,0.0,
raukhar.webp,assets/lore/fauna/raukhar.webp,Imagem do site,Imagem do site: Raukhar — Dimensões Infinitas,1400 × 1120 px,223.6 KB,228990,WEBP,1400 × 1120 px,223.6 KB,0.0,
raukhar.webp,assets/lore/raukhar.webp,Imagem do site,Imagem do site: Raukhar — Dimensões Infinitas,1400 × 1120 px,223.6 KB,228990,WEBP,1400 × 1120 px,223.6 KB,0.0,
Ciclo de Jesed black.webp,assets/branding/Ciclo de Jesed black.webp,Logo / identidade visual,Logo da marca Dimensões Infinitas,1723 × 608 px,39.8 KB,40704,PNG,1723 × 608 px,98.1 KB,59.5,
Ciclo de Jesed white.webp,assets/branding/Ciclo de Jesed white.webp,Logo / identidade visual,Logo da marca Dimensões Infinitas,1723 × 608 px,39.8 KB,40782,PNG,1723 × 608 px,98.2 KB,59.4,index.html
ciclo-de-jesed-logo.webp,assets/branding/ciclo-de-jesed-logo.webp,Logo / identidade visual,Logo da marca Dimensões Infinitas,1800 × 331 px,292.0 KB,298964,PNG,2058 × 379 px,759.4 KB,61.6,
cla-polar-1o-emblema-antigo.webp,assets/clans/cla-polar-1o-emblema-antigo.webp,Logo / identidade visual,Logo da marca Dimensões Infinitas,520 × 520 px,57.4 KB,58748,WEBP,520 × 520 px,57.4 KB,0.0,
cla-polar-2o-emblema-antigo.webp,assets/clans/cla-polar-2o-emblema-antigo.webp,Logo / identidade visual,Logo da marca Dimensões Infinitas,520 × 520 px,67.5 KB,69122,WEBP,520 × 520 px,67.5 KB,0.0,
cla-polar-emblema-atual.webp,assets/clans/cla-polar-emblema-atual.webp,Logo / identidade visual,Logo da marca Dimensões Infinitas,520 × 520 px,61.6 KB,63030,WEBP,520 × 520 px,61.6 KB,0.0,
dimensoes-infinitas-logo.webp,assets/branding/dimensoes-infinitas-logo.webp,Logo / identidade visual,Logo da marca Dimensões Infinitas,1609 × 596 px,731.9 KB,749458,PNG,1609 × 596 px,971.6 KB,24.7,
Dimensões Infinitas black.webp,assets/branding/Dimensões Infinitas black.webp,Logo / identidade visual,Logo da marca Dimensões Infinitas,1626 × 656 px,75.5 KB,77358,PNG,1626 × 656 px,177.6 KB,57.5,
Dimensões Infinitas white.webp,assets/branding/Dimensões Infinitas white.webp,Logo / identidade visual,Logo da marca Dimensões Infinitas,1626 × 656 px,75.5 KB,77326,PNG,1626 × 656 px,177.7 KB,57.5,index.html
Guerras de Sangue black.webp,assets/branding/Guerras de Sangue black.webp,Logo / identidade visual,Logo da marca Dimensões Infinitas,1644 × 656 px,56.7 KB,58032,PNG,1644 × 656 px,151.8 KB,62.7,
